"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get file","LMS","Tue Jan 13 09:51:42 UTC 2026","passed","Tue Jan 13 09:51:42 UTC 2026","Get entity","Files","",""
"","264","Create file with empty directory","LMS","Tue Jan 13 09:51:43 UTC 2026","passed","Tue Jan 13 09:51:44 UTC 2026","Validate entity","Files","",""
"","24","Create exercise","LMS","Tue Jan 13 09:51:39 UTC 2026","passed","Tue Jan 13 09:51:39 UTC 2026","Create entity","Exercises","",""
"","559","Create user","LMS","Tue Jan 13 09:51:44 UTC 2026","passed","Tue Jan 13 09:51:45 UTC 2026","Create entity","Users","",""
"","563","Login with correct email and password","LMS","Tue Jan 13 09:51:36 UTC 2026","passed","Tue Jan 13 09:51:36 UTC 2026","Login","Authentication","",""
"","257","Get file with incorrect file id","LMS","Tue Jan 13 09:51:44 UTC 2026","passed","Tue Jan 13 09:51:44 UTC 2026","Validate entity","Files","",""
"","19","Delete exercise","LMS","Tue Jan 13 09:51:40 UTC 2026","passed","Tue Jan 13 09:51:40 UTC 2026","Delete entity","Exercises","",""
"","57","Create file","LMS","Tue Jan 13 09:51:41 UTC 2026","passed","Tue Jan 13 09:51:41 UTC 2026","Create entity","Files","",""
"","18","Create file with empty filename","LMS","Tue Jan 13 09:51:42 UTC 2026","passed","Tue Jan 13 09:51:42 UTC 2026","Validate entity","Files","",""
"","315","Delete file","LMS","Tue Jan 13 09:51:44 UTC 2026","passed","Tue Jan 13 09:51:44 UTC 2026","Delete entity","Files","",""
"","34","Update course","LMS","Tue Jan 13 09:51:38 UTC 2026","passed","Tue Jan 13 09:51:38 UTC 2026","Update entity","Courses","",""
"","16","Get user me","LMS","Tue Jan 13 09:51:46 UTC 2026","passed","Tue Jan 13 09:51:46 UTC 2026","Get entity","Users","",""
"","30","Get courses","LMS","Tue Jan 13 09:51:36 UTC 2026","passed","Tue Jan 13 09:51:36 UTC 2026","Get entities","Courses","",""
"","22","Update exercise","LMS","Tue Jan 13 09:51:39 UTC 2026","passed","Tue Jan 13 09:51:39 UTC 2026","Update entity","Exercises","",""
"","551","Create user","LMS","Tue Jan 13 09:51:44 UTC 2026","passed","Tue Jan 13 09:51:44 UTC 2026","Create entity","Users","",""
"","17","Get exercises","LMS","Tue Jan 13 09:51:41 UTC 2026","passed","Tue Jan 13 09:51:41 UTC 2026","Get entities","Exercises","",""
"","557","Create user","LMS","Tue Jan 13 09:51:44 UTC 2026","passed","Tue Jan 13 09:51:45 UTC 2026","Create entity","Users","",""
"","27","Create course","LMS","Tue Jan 13 09:51:38 UTC 2026","passed","Tue Jan 13 09:51:38 UTC 2026","Create entity","Courses","",""
"","44","Get exercise","LMS","Tue Jan 13 09:51:40 UTC 2026","passed","Tue Jan 13 09:51:40 UTC 2026","Get entity","Exercises","",""
